period,county,type,pregnancy
2020 Q2,Nyamira County,Teen pregnancy (10 to 19 years),1240
2020 Q2,Nyandarua County,Teen pregnancy (10 to 19 years),568
2020 Q2,Nyeri County,Teen pregnancy (10 to 19 years),456
2020 Q2,Samburu County,Teen pregnancy (10 to 19 years),842
2020 Q2,Siaya County,Teen pregnancy (10 to 19 years),1598
2020 Q2,Taita Taveta County,Teen pregnancy (10 to 19 years),350
2020 Q2,Tana River County,Teen pregnancy (10 to 19 years),787
2020 Q2,Tharaka Nithi County,Teen pregnancy (10 to 19 years),752
2020 Q2,Trans Nzoia County,Teen pregnancy (10 to 19 years),2351
2020 Q2,Turkana County,Teen pregnancy (10 to 19 years),1499
2020 Q2,Uasin Gishu County,Teen pregnancy (10 to 19 years),883
2020 Q2,Vihiga County,Teen pregnancy (10 to 19 years),1221
2020 Q2,Wajir County,Teen pregnancy (10 to 19 years),605
2020 Q2,West Pokot County,Teen pregnancy (10 to 19 years),1687
2016 Q1,Baringo County,Teen pregnancy (10 to 14 years),109
2016 Q1,Bomet County,Teen pregnancy (10 to 14 years),17
2016 Q1,Bungoma County,Teen pregnancy (10 to 14 years),0
2016 Q1,Busia County,Teen pregnancy (10 to 14 years),28
2016 Q1,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),0
2016 Q1,Embu County,Teen pregnancy (10 to 14 years),0
2016 Q1,Garissa County,Teen pregnancy (10 to 14 years),7
2016 Q1,Homa Bay County,Teen pregnancy (10 to 14 years),2
2016 Q1,Isiolo County,Teen pregnancy (10 to 14 years),0
2016 Q1,Kajiado County,Teen pregnancy (10 to 14 years),57
2016 Q1,Kakamega County,Teen pregnancy (10 to 14 years),1
2016 Q1,Kericho County,Teen pregnancy (10 to 14 years),16
2016 Q1,Kiambu County,Teen pregnancy (10 to 14 years),1
2016 Q1,Kilifi County,Teen pregnancy (10 to 14 years),39
2016 Q1,Kirinyaga County,Teen pregnancy (10 to 14 years),0
2016 Q1,Kisii County,Teen pregnancy (10 to 14 years),38
2016 Q1,Kisumu County,Teen pregnancy (10 to 14 years),12
2016 Q1,Kitui County,Teen pregnancy (10 to 14 years),4
2016 Q1,Kwale County,Teen pregnancy (10 to 14 years),43
2016 Q1,Laikipia County,Teen pregnancy (10 to 14 years),0
2016 Q1,Lamu County,Teen pregnancy (10 to 14 years),1
2016 Q1,Machakos County,Teen pregnancy (10 to 14 years),4
2016 Q1,Makueni County,Teen pregnancy (10 to 14 years),2
2016 Q1,Mandera County,Teen pregnancy (10 to 14 years),0
2016 Q1,Marsabit County,Teen pregnancy (10 to 14 years),47
2016 Q1,Meru County,Teen pregnancy (10 to 14 years),17
2016 Q1,Migori County,Teen pregnancy (10 to 14 years),93
2016 Q1,Mombasa County,Teen pregnancy (10 to 14 years),70
2016 Q1,Muranga County,Teen pregnancy (10 to 14 years),0
2016 Q1,Nairobi County,Teen pregnancy (10 to 14 years),725
2016 Q1,Nakuru County,Teen pregnancy (10 to 14 years),0
2016 Q1,Nandi County,Teen pregnancy (10 to 14 years),53
2016 Q1,Narok County,Teen pregnancy (10 to 14 years),15
2016 Q1,Nyamira County,Teen pregnancy (10 to 14 years),9
2016 Q1,Nyandarua County,Teen pregnancy (10 to 14 years),0
2016 Q1,Nyeri County,Teen pregnancy (10 to 14 years),1
2016 Q1,Samburu County,Teen pregnancy (10 to 14 years),1
2016 Q1,Siaya County,Teen pregnancy (10 to 14 years),0
2016 Q1,Taita Taveta County,Teen pregnancy (10 to 14 years),0
2016 Q1,Tana River County,Teen pregnancy (10 to 14 years),40
2016 Q1,Tharaka Nithi County,Teen pregnancy (10 to 14 years),0
2016 Q1,Trans Nzoia County,Teen pregnancy (10 to 14 years),6
2016 Q1,Turkana County,Teen pregnancy (10 to 14 years),0
2016 Q1,Uasin Gishu County,Teen pregnancy (10 to 14 years),42
2016 Q1,Vihiga County,Teen pregnancy (10 to 14 years),0
2016 Q1,Wajir County,Teen pregnancy (10 to 14 years),36
2016 Q1,West Pokot County,Teen pregnancy (10 to 14 years),10
2016 Q2,Baringo County,Teen pregnancy (10 to 14 years),294
2016 Q2,Bomet County,Teen pregnancy (10 to 14 years),28
2016 Q2,Bungoma County,Teen pregnancy (10 to 14 years),180
2016 Q2,Busia County,Teen pregnancy (10 to 14 years),29
2016 Q2,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),9
2016 Q2,Embu County,Teen pregnancy (10 to 14 years),3
2016 Q2,Garissa County,Teen pregnancy (10 to 14 years),65
2016 Q2,Homa Bay County,Teen pregnancy (10 to 14 years),200
2016 Q2,Isiolo County,Teen pregnancy (10 to 14 years),33
2016 Q2,Kajiado County,Teen pregnancy (10 to 14 years),656
2016 Q2,Kakamega County,Teen pregnancy (10 to 14 years),154
2016 Q2,Kericho County,Teen pregnancy (10 to 14 years),71
2016 Q2,Kiambu County,Teen pregnancy (10 to 14 years),23
2016 Q2,Kilifi County,Teen pregnancy (10 to 14 years),138
2016 Q2,Kirinyaga County,Teen pregnancy (10 to 14 years),26
2016 Q2,Kisii County,Teen pregnancy (10 to 14 years),182
2016 Q2,Kisumu County,Teen pregnancy (10 to 14 years),137
2016 Q2,Kitui County,Teen pregnancy (10 to 14 years),122
2016 Q2,Kwale County,Teen pregnancy (10 to 14 years),440
2016 Q2,Laikipia County,Teen pregnancy (10 to 14 years),9
2016 Q2,Lamu County,Teen pregnancy (10 to 14 years),1
2016 Q2,Machakos County,Teen pregnancy (10 to 14 years),71
2016 Q2,Makueni County,Teen pregnancy (10 to 14 years),57
2016 Q2,Mandera County,Teen pregnancy (10 to 14 years),51
2016 Q2,Marsabit County,Teen pregnancy (10 to 14 years),38
2016 Q2,Meru County,Teen pregnancy (10 to 14 years),146
2016 Q2,Migori County,Teen pregnancy (10 to 14 years),305
2016 Q2,Mombasa County,Teen pregnancy (10 to 14 years),160
2016 Q2,Muranga County,Teen pregnancy (10 to 14 years),15
2016 Q2,Nairobi County,Teen pregnancy (10 to 14 years),2026
2016 Q2,Nakuru County,Teen pregnancy (10 to 14 years),123
2016 Q2,Nandi County,Teen pregnancy (10 to 14 years),138
2016 Q2,Narok County,Teen pregnancy (10 to 14 years),78
2016 Q2,Nyamira County,Teen pregnancy (10 to 14 years),56
2016 Q2,Nyandarua County,Teen pregnancy (10 to 14 years),13
2016 Q2,Nyeri County,Teen pregnancy (10 to 14 years),9
2016 Q2,Samburu County,Teen pregnancy (10 to 14 years),13
2016 Q2,Siaya County,Teen pregnancy (10 to 14 years),158
2016 Q2,Taita Taveta County,Teen pregnancy (10 to 14 years),4
2016 Q2,Tana River County,Teen pregnancy (10 to 14 years),102
2016 Q2,Tharaka Nithi County,Teen pregnancy (10 to 14 years),10
2016 Q2,Trans Nzoia County,Teen pregnancy (10 to 14 years),103
2016 Q2,Turkana County,Teen pregnancy (10 to 14 years),143
2016 Q2,Uasin Gishu County,Teen pregnancy (10 to 14 years),389
2016 Q2,Vihiga County,Teen pregnancy (10 to 14 years),7
2016 Q2,Wajir County,Teen pregnancy (10 to 14 years),46
2016 Q2,West Pokot County,Teen pregnancy (10 to 14 years),168
2016 Q3,Baringo County,Teen pregnancy (10 to 14 years),252
2016 Q3,Bomet County,Teen pregnancy (10 to 14 years),67
2016 Q3,Bungoma County,Teen pregnancy (10 to 14 years),831
2016 Q3,Busia County,Teen pregnancy (10 to 14 years),194
2016 Q3,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),93
2016 Q3,Embu County,Teen pregnancy (10 to 14 years),29
2016 Q3,Garissa County,Teen pregnancy (10 to 14 years),52
2016 Q3,Homa Bay County,Teen pregnancy (10 to 14 years),466
2016 Q3,Isiolo County,Teen pregnancy (10 to 14 years),5
2016 Q3,Kajiado County,Teen pregnancy (10 to 14 years),471
2016 Q3,Kakamega County,Teen pregnancy (10 to 14 years),176
2016 Q3,Kericho County,Teen pregnancy (10 to 14 years),46
2016 Q3,Kiambu County,Teen pregnancy (10 to 14 years),88
2016 Q3,Kilifi County,Teen pregnancy (10 to 14 years),251
2016 Q3,Kirinyaga County,Teen pregnancy (10 to 14 years),52
2016 Q3,Kisii County,Teen pregnancy (10 to 14 years),288
2016 Q3,Kisumu County,Teen pregnancy (10 to 14 years),109
2016 Q3,Kitui County,Teen pregnancy (10 to 14 years),215
2016 Q3,Kwale County,Teen pregnancy (10 to 14 years),287
2016 Q3,Laikipia County,Teen pregnancy (10 to 14 years),23
2016 Q3,Lamu County,Teen pregnancy (10 to 14 years),21
2016 Q3,Machakos County,Teen pregnancy (10 to 14 years),61
2016 Q3,Makueni County,Teen pregnancy (10 to 14 years),76
2016 Q3,Mandera County,Teen pregnancy (10 to 14 years),21
2016 Q3,Marsabit County,Teen pregnancy (10 to 14 years),46
2016 Q3,Meru County,Teen pregnancy (10 to 14 years),87
2016 Q3,Migori County,Teen pregnancy (10 to 14 years),276
2016 Q3,Mombasa County,Teen pregnancy (10 to 14 years),79
2016 Q3,Muranga County,Teen pregnancy (10 to 14 years),20
2016 Q3,Nairobi County,Teen pregnancy (10 to 14 years),1193
2016 Q3,Nakuru County,Teen pregnancy (10 to 14 years),259
2016 Q3,Nandi County,Teen pregnancy (10 to 14 years),269
2016 Q3,Narok County,Teen pregnancy (10 to 14 years),191
2016 Q3,Nyamira County,Teen pregnancy (10 to 14 years),89
2016 Q3,Nyandarua County,Teen pregnancy (10 to 14 years),38
2016 Q3,Nyeri County,Teen pregnancy (10 to 14 years),32
2016 Q3,Samburu County,Teen pregnancy (10 to 14 years),41
2016 Q3,Siaya County,Teen pregnancy (10 to 14 years),111
2016 Q3,Taita Taveta County,Teen pregnancy (10 to 14 years),10
2016 Q3,Tana River County,Teen pregnancy (10 to 14 years),38
2016 Q3,Tharaka Nithi County,Teen pregnancy (10 to 14 years),6
2016 Q3,Trans Nzoia County,Teen pregnancy (10 to 14 years),79
2016 Q3,Turkana County,Teen pregnancy (10 to 14 years),108
2016 Q3,Uasin Gishu County,Teen pregnancy (10 to 14 years),314
2016 Q3,Vihiga County,Teen pregnancy (10 to 14 years),38
2016 Q3,Wajir County,Teen pregnancy (10 to 14 years),116
2016 Q3,West Pokot County,Teen pregnancy (10 to 14 years),94
2016 Q4,Baringo County,Teen pregnancy (10 to 14 years),127
2016 Q4,Bomet County,Teen pregnancy (10 to 14 years),168
2016 Q4,Bungoma County,Teen pregnancy (10 to 14 years),602
2016 Q4,Busia County,Teen pregnancy (10 to 14 years),56
2016 Q4,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),10
2016 Q4,Embu County,Teen pregnancy (10 to 14 years),17
2016 Q4,Garissa County,Teen pregnancy (10 to 14 years),193
2016 Q4,Homa Bay County,Teen pregnancy (10 to 14 years),268
2016 Q4,Isiolo County,Teen pregnancy (10 to 14 years),5
2016 Q4,Kajiado County,Teen pregnancy (10 to 14 years),271
2016 Q4,Kakamega County,Teen pregnancy (10 to 14 years),249
2016 Q4,Kericho County,Teen pregnancy (10 to 14 years),68
2016 Q4,Kiambu County,Teen pregnancy (10 to 14 years),114
2016 Q4,Kilifi County,Teen pregnancy (10 to 14 years),71
2016 Q4,Kirinyaga County,Teen pregnancy (10 to 14 years),12
2016 Q4,Kisii County,Teen pregnancy (10 to 14 years),187
2016 Q4,Kisumu County,Teen pregnancy (10 to 14 years),123
2016 Q4,Kitui County,Teen pregnancy (10 to 14 years),70
2016 Q4,Kwale County,Teen pregnancy (10 to 14 years),563
2016 Q4,Laikipia County,Teen pregnancy (10 to 14 years),67
2016 Q4,Lamu County,Teen pregnancy (10 to 14 years),2
2016 Q4,Machakos County,Teen pregnancy (10 to 14 years),103
2016 Q4,Makueni County,Teen pregnancy (10 to 14 years),90
2016 Q4,Mandera County,Teen pregnancy (10 to 14 years),97
2016 Q4,Marsabit County,Teen pregnancy (10 to 14 years),151
2016 Q4,Meru County,Teen pregnancy (10 to 14 years),91
2016 Q4,Migori County,Teen pregnancy (10 to 14 years),201
2016 Q4,Mombasa County,Teen pregnancy (10 to 14 years),104
2016 Q4,Muranga County,Teen pregnancy (10 to 14 years),9
2016 Q4,Nairobi County,Teen pregnancy (10 to 14 years),1243
2016 Q4,Nakuru County,Teen pregnancy (10 to 14 years),345
2016 Q4,Nandi County,Teen pregnancy (10 to 14 years),223
2016 Q4,Narok County,Teen pregnancy (10 to 14 years),63
2016 Q4,Nyamira County,Teen pregnancy (10 to 14 years),43
2016 Q4,Nyandarua County,Teen pregnancy (10 to 14 years),25
2016 Q4,Nyeri County,Teen pregnancy (10 to 14 years),16
2016 Q4,Samburu County,Teen pregnancy (10 to 14 years),26
2016 Q4,Siaya County,Teen pregnancy (10 to 14 years),120
2016 Q4,Taita Taveta County,Teen pregnancy (10 to 14 years),5
2016 Q4,Tana River County,Teen pregnancy (10 to 14 years),62
2016 Q4,Tharaka Nithi County,Teen pregnancy (10 to 14 years),34
2016 Q4,Trans Nzoia County,Teen pregnancy (10 to 14 years),130
2016 Q4,Turkana County,Teen pregnancy (10 to 14 years),239
2016 Q4,Uasin Gishu County,Teen pregnancy (10 to 14 years),108
2016 Q4,Vihiga County,Teen pregnancy (10 to 14 years),24
2016 Q4,Wajir County,Teen pregnancy (10 to 14 years),25
2016 Q4,West Pokot County,Teen pregnancy (10 to 14 years),53
2017 Q1,Baringo County,Teen pregnancy (10 to 14 years),318
2017 Q1,Bomet County,Teen pregnancy (10 to 14 years),185
2017 Q1,Bungoma County,Teen pregnancy (10 to 14 years),462
2017 Q1,Busia County,Teen pregnancy (10 to 14 years),34
2017 Q1,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),8
2017 Q1,Embu County,Teen pregnancy (10 to 14 years),54
2017 Q1,Garissa County,Teen pregnancy (10 to 14 years),282
2017 Q1,Homa Bay County,Teen pregnancy (10 to 14 years),250
2017 Q1,Isiolo County,Teen pregnancy (10 to 14 years),13
2017 Q1,Kajiado County,Teen pregnancy (10 to 14 years),289
2017 Q1,Kakamega County,Teen pregnancy (10 to 14 years),440
2017 Q1,Kericho County,Teen pregnancy (10 to 14 years),67
2017 Q1,Kiambu County,Teen pregnancy (10 to 14 years),29
2017 Q1,Kilifi County,Teen pregnancy (10 to 14 years),51
2017 Q1,Kirinyaga County,Teen pregnancy (10 to 14 years),139
2017 Q1,Kisii County,Teen pregnancy (10 to 14 years),194
2017 Q1,Kisumu County,Teen pregnancy (10 to 14 years),131
2017 Q1,Kitui County,Teen pregnancy (10 to 14 years),155
2017 Q1,Kwale County,Teen pregnancy (10 to 14 years),417
2017 Q1,Laikipia County,Teen pregnancy (10 to 14 years),30
2017 Q1,Lamu County,Teen pregnancy (10 to 14 years),83
2017 Q1,Machakos County,Teen pregnancy (10 to 14 years),79
2017 Q1,Makueni County,Teen pregnancy (10 to 14 years),77
2017 Q1,Mandera County,Teen pregnancy (10 to 14 years),72
2017 Q1,Marsabit County,Teen pregnancy (10 to 14 years),149
2017 Q1,Meru County,Teen pregnancy (10 to 14 years),261
2017 Q1,Migori County,Teen pregnancy (10 to 14 years),137
2017 Q1,Mombasa County,Teen pregnancy (10 to 14 years),110
2017 Q1,Muranga County,Teen pregnancy (10 to 14 years),18
2017 Q1,Nairobi County,Teen pregnancy (10 to 14 years),1000
2017 Q1,Nakuru County,Teen pregnancy (10 to 14 years),153
2017 Q1,Nandi County,Teen pregnancy (10 to 14 years),211
2017 Q1,Narok County,Teen pregnancy (10 to 14 years),258
2017 Q1,Nyamira County,Teen pregnancy (10 to 14 years),94
2017 Q1,Nyandarua County,Teen pregnancy (10 to 14 years),24
2017 Q1,Nyeri County,Teen pregnancy (10 to 14 years),19
2017 Q1,Samburu County,Teen pregnancy (10 to 14 years),26
2017 Q1,Siaya County,Teen pregnancy (10 to 14 years),122
2017 Q1,Taita Taveta County,Teen pregnancy (10 to 14 years),27
2017 Q1,Tana River County,Teen pregnancy (10 to 14 years),55
2017 Q1,Tharaka Nithi County,Teen pregnancy (10 to 14 years),99
2017 Q1,Trans Nzoia County,Teen pregnancy (10 to 14 years),57
2017 Q1,Turkana County,Teen pregnancy (10 to 14 years),218
2017 Q1,Uasin Gishu County,Teen pregnancy (10 to 14 years),170
2017 Q1,Vihiga County,Teen pregnancy (10 to 14 years),29
2017 Q1,Wajir County,Teen pregnancy (10 to 14 years),124
2017 Q1,West Pokot County,Teen pregnancy (10 to 14 years),87
2017 Q2,Baringo County,Teen pregnancy (10 to 14 years),262
2017 Q2,Bomet County,Teen pregnancy (10 to 14 years),117
2017 Q2,Bungoma County,Teen pregnancy (10 to 14 years),435
2017 Q2,Busia County,Teen pregnancy (10 to 14 years),47
2017 Q2,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),38
2017 Q2,Embu County,Teen pregnancy (10 to 14 years),265
2017 Q2,Garissa County,Teen pregnancy (10 to 14 years),44
2017 Q2,Homa Bay County,Teen pregnancy (10 to 14 years),270
2017 Q2,Isiolo County,Teen pregnancy (10 to 14 years),4
2017 Q2,Kajiado County,Teen pregnancy (10 to 14 years),313
2017 Q2,Kakamega County,Teen pregnancy (10 to 14 years),207
2017 Q2,Kericho County,Teen pregnancy (10 to 14 years),24
2017 Q2,Kiambu County,Teen pregnancy (10 to 14 years),161
2017 Q2,Kilifi County,Teen pregnancy (10 to 14 years),58
2017 Q2,Kirinyaga County,Teen pregnancy (10 to 14 years),10
2017 Q2,Kisii County,Teen pregnancy (10 to 14 years),175
2017 Q2,Kisumu County,Teen pregnancy (10 to 14 years),143
2017 Q2,Kitui County,Teen pregnancy (10 to 14 years),91
2017 Q2,Kwale County,Teen pregnancy (10 to 14 years),72
2017 Q2,Laikipia County,Teen pregnancy (10 to 14 years),55
2017 Q2,Lamu County,Teen pregnancy (10 to 14 years),6
2017 Q2,Machakos County,Teen pregnancy (10 to 14 years),113
2017 Q2,Makueni County,Teen pregnancy (10 to 14 years),31
2017 Q2,Mandera County,Teen pregnancy (10 to 14 years),45
2017 Q2,Marsabit County,Teen pregnancy (10 to 14 years),23
2017 Q2,Meru County,Teen pregnancy (10 to 14 years),102
2017 Q2,Migori County,Teen pregnancy (10 to 14 years),137
2017 Q2,Mombasa County,Teen pregnancy (10 to 14 years),78
2017 Q2,Muranga County,Teen pregnancy (10 to 14 years),37
2017 Q2,Nairobi County,Teen pregnancy (10 to 14 years),859
2017 Q2,Nakuru County,Teen pregnancy (10 to 14 years),150
2017 Q2,Nandi County,Teen pregnancy (10 to 14 years),138
2017 Q2,Narok County,Teen pregnancy (10 to 14 years),124
2017 Q2,Nyamira County,Teen pregnancy (10 to 14 years),101
2017 Q2,Nyandarua County,Teen pregnancy (10 to 14 years),32
2017 Q2,Nyeri County,Teen pregnancy (10 to 14 years),19
2017 Q2,Samburu County,Teen pregnancy (10 to 14 years),23
2017 Q2,Siaya County,Teen pregnancy (10 to 14 years),155
2017 Q2,Taita Taveta County,Teen pregnancy (10 to 14 years),14
2017 Q2,Tana River County,Teen pregnancy (10 to 14 years),11
2017 Q2,Tharaka Nithi County,Teen pregnancy (10 to 14 years),78
2017 Q2,Trans Nzoia County,Teen pregnancy (10 to 14 years),107
2017 Q2,Turkana County,Teen pregnancy (10 to 14 years),99
2017 Q2,Uasin Gishu County,Teen pregnancy (10 to 14 years),219
2017 Q2,Vihiga County,Teen pregnancy (10 to 14 years),11
2017 Q2,Wajir County,Teen pregnancy (10 to 14 years),44
2017 Q2,West Pokot County,Teen pregnancy (10 to 14 years),63
2017 Q3,Baringo County,Teen pregnancy (10 to 14 years),169
2017 Q3,Bomet County,Teen pregnancy (10 to 14 years),181
2017 Q3,Bungoma County,Teen pregnancy (10 to 14 years),141
2017 Q3,Busia County,Teen pregnancy (10 to 14 years),5
2017 Q3,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),7
2017 Q3,Embu County,Teen pregnancy (10 to 14 years),9
2017 Q3,Garissa County,Teen pregnancy (10 to 14 years),17
2017 Q3,Homa Bay County,Teen pregnancy (10 to 14 years),261
2017 Q3,Isiolo County,Teen pregnancy (10 to 14 years),1
2017 Q3,Kajiado County,Teen pregnancy (10 to 14 years),58
2017 Q3,Kakamega County,Teen pregnancy (10 to 14 years),206
2017 Q3,Kericho County,Teen pregnancy (10 to 14 years),13
2017 Q3,Kiambu County,Teen pregnancy (10 to 14 years),11
2017 Q3,Kilifi County,Teen pregnancy (10 to 14 years),14
2017 Q3,Kirinyaga County,Teen pregnancy (10 to 14 years),0
2017 Q3,Kisii County,Teen pregnancy (10 to 14 years),43
2017 Q3,Kisumu County,Teen pregnancy (10 to 14 years),107
2017 Q3,Kitui County,Teen pregnancy (10 to 14 years),86
2017 Q3,Kwale County,Teen pregnancy (10 to 14 years),110
2017 Q3,Laikipia County,Teen pregnancy (10 to 14 years),17
2017 Q3,Lamu County,Teen pregnancy (10 to 14 years),7
2017 Q3,Machakos County,Teen pregnancy (10 to 14 years),5
2017 Q3,Makueni County,Teen pregnancy (10 to 14 years),103
2017 Q3,Mandera County,Teen pregnancy (10 to 14 years),51
2017 Q3,Marsabit County,Teen pregnancy (10 to 14 years),1
2017 Q3,Meru County,Teen pregnancy (10 to 14 years),222
2017 Q3,Migori County,Teen pregnancy (10 to 14 years),117
2017 Q3,Mombasa County,Teen pregnancy (10 to 14 years),81
2017 Q3,Muranga County,Teen pregnancy (10 to 14 years),4
2017 Q3,Nairobi County,Teen pregnancy (10 to 14 years),1158
2017 Q3,Nakuru County,Teen pregnancy (10 to 14 years),503
2017 Q3,Nandi County,Teen pregnancy (10 to 14 years),146
2017 Q3,Narok County,Teen pregnancy (10 to 14 years),129
2017 Q3,Nyamira County,Teen pregnancy (10 to 14 years),32
2017 Q3,Nyandarua County,Teen pregnancy (10 to 14 years),24
2017 Q3,Nyeri County,Teen pregnancy (10 to 14 years),320
2017 Q3,Samburu County,Teen pregnancy (10 to 14 years),7
2017 Q3,Siaya County,Teen pregnancy (10 to 14 years),42
2017 Q3,Taita Taveta County,Teen pregnancy (10 to 14 years),3
2017 Q3,Tana River County,Teen pregnancy (10 to 14 years),9
2017 Q3,Tharaka Nithi County,Teen pregnancy (10 to 14 years),99
2017 Q3,Trans Nzoia County,Teen pregnancy (10 to 14 years),21
2017 Q3,Turkana County,Teen pregnancy (10 to 14 years),182
2017 Q3,Uasin Gishu County,Teen pregnancy (10 to 14 years),42
2017 Q3,Vihiga County,Teen pregnancy (10 to 14 years),20
2017 Q3,Wajir County,Teen pregnancy (10 to 14 years),30
2017 Q3,West Pokot County,Teen pregnancy (10 to 14 years),63
2017 Q4,Baringo County,Teen pregnancy (10 to 14 years),243
2017 Q4,Bomet County,Teen pregnancy (10 to 14 years),37
2017 Q4,Bungoma County,Teen pregnancy (10 to 14 years),314
2017 Q4,Busia County,Teen pregnancy (10 to 14 years),34
2017 Q4,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),62
2017 Q4,Embu County,Teen pregnancy (10 to 14 years),12
2017 Q4,Garissa County,Teen pregnancy (10 to 14 years),34
2017 Q4,Homa Bay County,Teen pregnancy (10 to 14 years),369
2017 Q4,Isiolo County,Teen pregnancy (10 to 14 years),21
2017 Q4,Kajiado County,Teen pregnancy (10 to 14 years),218
2017 Q4,Kakamega County,Teen pregnancy (10 to 14 years),243
2017 Q4,Kericho County,Teen pregnancy (10 to 14 years),72
2017 Q4,Kiambu County,Teen pregnancy (10 to 14 years),15
2017 Q4,Kilifi County,Teen pregnancy (10 to 14 years),105
2017 Q4,Kirinyaga County,Teen pregnancy (10 to 14 years),110
2017 Q4,Kisii County,Teen pregnancy (10 to 14 years),185
2017 Q4,Kisumu County,Teen pregnancy (10 to 14 years),112
2017 Q4,Kitui County,Teen pregnancy (10 to 14 years),56
2017 Q4,Kwale County,Teen pregnancy (10 to 14 years),54
2017 Q4,Laikipia County,Teen pregnancy (10 to 14 years),42
2017 Q4,Lamu County,Teen pregnancy (10 to 14 years),6
2017 Q4,Machakos County,Teen pregnancy (10 to 14 years),157
2017 Q4,Makueni County,Teen pregnancy (10 to 14 years),47
2017 Q4,Mandera County,Teen pregnancy (10 to 14 years),122
2017 Q4,Marsabit County,Teen pregnancy (10 to 14 years),45
2017 Q4,Meru County,Teen pregnancy (10 to 14 years),475
2017 Q4,Migori County,Teen pregnancy (10 to 14 years),206
2017 Q4,Mombasa County,Teen pregnancy (10 to 14 years),99
2017 Q4,Muranga County,Teen pregnancy (10 to 14 years),33
2017 Q4,Nairobi County,Teen pregnancy (10 to 14 years),1013
2017 Q4,Nakuru County,Teen pregnancy (10 to 14 years),61
2017 Q4,Nandi County,Teen pregnancy (10 to 14 years),218
2017 Q4,Narok County,Teen pregnancy (10 to 14 years),161
2017 Q4,Nyamira County,Teen pregnancy (10 to 14 years),36
2017 Q4,Nyandarua County,Teen pregnancy (10 to 14 years),36
2017 Q4,Nyeri County,Teen pregnancy (10 to 14 years),1
2017 Q4,Samburu County,Teen pregnancy (10 to 14 years),10
2017 Q4,Siaya County,Teen pregnancy (10 to 14 years),62
2017 Q4,Taita Taveta County,Teen pregnancy (10 to 14 years),18
2017 Q4,Tana River County,Teen pregnancy (10 to 14 years),6
2017 Q4,Tharaka Nithi County,Teen pregnancy (10 to 14 years),24
2017 Q4,Trans Nzoia County,Teen pregnancy (10 to 14 years),120
2017 Q4,Turkana County,Teen pregnancy (10 to 14 years),230
2017 Q4,Uasin Gishu County,Teen pregnancy (10 to 14 years),20
2017 Q4,Vihiga County,Teen pregnancy (10 to 14 years),23
2017 Q4,Wajir County,Teen pregnancy (10 to 14 years),36
2017 Q4,West Pokot County,Teen pregnancy (10 to 14 years),119
2018 Q1,Baringo County,Teen pregnancy (10 to 14 years),337
2018 Q1,Bomet County,Teen pregnancy (10 to 14 years),70
2018 Q1,Bungoma County,Teen pregnancy (10 to 14 years),233
2018 Q1,Busia County,Teen pregnancy (10 to 14 years),58
2018 Q1,Elgeyo Marakwet County,Teen pregnancy (10 to 14 years),25
2018 Q1,Embu County,Teen pregnancy (10 to 14 years),1
2018 Q1,Garissa County,Teen pregnancy (10 to 14 years),148
2018 Q1,Homa Bay County,Teen pregnancy (10 to 14 years),256
2018 Q1,Isiolo County,Teen pregnancy (10 to 14 years),15
2018 Q1,Kajiado County,Teen pregnancy (10 to 14 years),311
2018 Q1,Kakamega County,Teen pregnancy (10 to 14 years),119
2018 Q1,Kericho County,Teen pregnancy (10 to 14 years),119
2018 Q1,Kiambu County,Teen pregnancy (10 to 14 years),171
2018 Q1,Kilifi County,Teen pregnancy (10 to 14 years),55
2018 Q1,Kirinyaga County,Teen pregnancy (10 to 14 years),34
2018 Q1,Kisii County,Teen pregnancy (10 to 14 years),245
2018 Q1,Kisumu County,Teen pregnancy (10 to 14 years),96
2018 Q1,Kitui County,Teen pregnancy (10 to 14 years),124
2018 Q1,Kwale County,Teen pregnancy (10 to 14 years),66
2018 Q1,Laikipia County,Teen pregnancy (10 to 14 years),65
2018 Q1,Lamu County,Teen pregnancy (10 to 14 years),9
2018 Q1,Machakos County,Teen pregnancy (10 to 14 years),53
2018 Q1,Makueni County,Teen pregnancy (10 to 14 years),57
2018 Q1,Mandera County,Teen pregnancy (10 to 14 years),283
2018 Q1,Marsabit County,Teen pregnancy (10 to 14 years),42
2018 Q1,Meru County,Teen pregnancy (10 to 14 years),210
2018 Q1,Migori County,Teen pregnancy (10 to 14 years),205
2018 Q1,Mombasa County,Teen pregnancy (10 to 14 years),41
2018 Q1,Muranga County,Teen pregnancy (10 to 14 years),16
2018 Q1,Nairobi County,Teen pregnancy (10 to 14 years),1639
2018 Q1,Nakuru County,Teen pregnancy (10 to 14 years),433
2018 Q1,Nandi County,Teen pregnancy (10 to 14 years),98
2018 Q1,Narok County,Teen pregnancy (10 to 14 years),152
2018 Q1,Nyamira County,Teen pregnancy (10 to 14 years),75
2018 Q1,Nyandarua County,Teen pregnancy (10 to 14 years),92
